Time	Iteration	Loss	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
15.203044176101685	0	0.0007988668	-269.92	140.4404	182.06998	-772.1836	119.41492537313432	36.1817685340029	40004	40004
30.106061935424805	1	-0.0019161861	-243.82166	134.45319	173.91931	-663.92505	119.48809523809524	37.2030285657918	40148	80152
46.35411190986633	2	0.0024782298	-209.5629	131.89024	140.07628	-574.4652	125.63009404388714	75.19859497906202	40076	120228
61.260730028152466	3	0.0028498955	-203.70544	117.52751	140.23004	-616.34686	125.61755485893417	37.28797286883604	40072	160300
76.19075107574463	4	0.003321793	-182.64221	123.61406	220.66937	-617.11786	126.67721518987342	36.801772966946245	40030	200330
91.3682930469513	5	0.007703582	-175.86649	101.88594	125.90958	-461.68457	131.15737704918033	39.73446478160722	40003	240333
106.82520508766174	6	0.008489322	-164.9627	108.843025	183.12915	-465.43488	134.05016722408027	48.60853963441091	40081	280414
123.98465919494629	7	0.005097357	-153.04857	99.121544	168.47185	-450.8089	144.26618705035972	87.64021247290506	40106	320520
139.32068014144897	8	0.0060402714	-142.55516	110.7402	211.82318	-545.54834	135.8779661016949	39.19718109804261	40084	360604
158.84413361549377	9	0.011921076	-139.75735	102.45843	190.75047	-451.95905	150.54511278195488	112.40865897008756	40045	400649
177.00734639167786	10	-0.00013142012	-119.53927	109.79451	209.93877	-550.43713	151.39622641509433	89.10696129819372	40120	440769
196.05936241149902	11	0.0010443303	-106.457794	123.615005	220.01941	-437.43655	167.36514522821577	101.21653931442252	40335	481104
214.30458045005798	12	-0.0053389794	-110.84719	132.76674	232.72562	-541.7381	170.21702127659574	94.24982492031583	40001	521105
233.89620280265808	13	-0.006371134	-116.16259	128.20096	204.79834	-519.7637	190.83809523809524	113.99846480248875	40076	561181
253.9535300731659	14	0.0001271838	-111.546394	134.47491	231.80533	-598.9483	197.28571428571428	108.47862899496714	40049	601230
