Time	Iteration	Loss	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.5409164428710938	0	0.0560174	5.5	1.5	7.0	4.0	5.5	1.5	11	11
0.5824179649353027	1	-0.20041096	16.0	0.0	16.0	16.0	16.0	0.0	16	27
0.5908603668212891	2	-0.03525882	24.0	0.0	24.0	24.0	24.0	0.0	24	51
0.6019933223724365	3	-0.016270796	12.0	0.0	12.0	12.0	12.0	0.0	12	63
0.6073145866394043	4	0.13258137	11.0	0.0	11.0	11.0	11.0	0.0	11	74
0.6176242828369141	5	0.12122285	16.5	6.5	23.0	10.0	16.5	6.5	33	107
0.624046802520752	6	-0.09361565	12.0	0.0	12.0	12.0	12.0	0.0	12	119
0.634911298751831	7	-0.31565398	32.0	0.0	32.0	32.0	32.0	0.0	32	151
0.6454775333404541	8	-0.008855112	15.5	6.5	22.0	9.0	15.5	6.5	31	182
0.6580493450164795	9	0.09869053	44.0	0.0	44.0	44.0	44.0	0.0	44	226
0.6657106876373291	10	-0.1121683	17.0	0.0	17.0	17.0	17.0	0.0	17	243
0.6716389656066895	11	-0.23314285	13.0	0.0	13.0	13.0	13.0	0.0	13	256
0.6816985607147217	12	0.11003791	28.0	0.0	28.0	28.0	28.0	0.0	28	284
0.68695068359375	13	0.05331044	11.0	0.0	11.0	11.0	11.0	0.0	11	295
0.6935877799987793	14	-0.2300976	17.0	0.0	17.0	17.0	17.0	0.0	17	312
0.7052311897277832	15	-0.10894371	41.0	0.0	41.0	41.0	41.0	0.0	41	353
0.7112746238708496	16	-0.14521049	15.0	0.0	15.0	15.0	15.0	0.0	15	368
0.7292575836181641	17	-0.052616265	66.0	0.0	66.0	66.0	66.0	0.0	66	434
0.7353901863098145	18	0.055632517	13.0	0.0	13.0	13.0	13.0	0.0	13	447
0.7422170639038086	19	0.17646976	20.0	0.0	20.0	20.0	20.0	0.0	20	467
0.7567150592803955	20	0.14483622	51.0	0.0	51.0	51.0	51.0	0.0	51	518
0.7792563438415527	21	0.06226785	87.0	0.0	87.0	87.0	87.0	0.0	87	605
0.7850925922393799	22	0.01903928	15.0	0.0	15.0	15.0	15.0	0.0	15	620
0.7975456714630127	23	0.0020606206	46.0	0.0	46.0	46.0	46.0	0.0	46	666
0.8056192398071289	24	-0.22344705	11.5	1.5	13.0	10.0	11.5	1.5	23	689
0.8247604370117188	25	0.24774644	70.0	0.0	70.0	70.0	70.0	0.0	70	759
0.843620777130127	26	-0.056621257	71.0	0.0	71.0	71.0	71.0	0.0	71	830
0.8617947101593018	27	-0.028607678	71.0	0.0	71.0	71.0	71.0	0.0	71	901
0.876910924911499	28	-0.06386753	54.0	0.0	54.0	54.0	54.0	0.0	54	955
0.8965444564819336	29	-0.07785663	82.0	0.0	82.0	82.0	82.0	0.0	82	1037
0.9265310764312744	30	-0.09475341	124.0	0.0	124.0	124.0	124.0	0.0	124	1161
0.9773497581481934	31	0.0593303	219.0	0.0	219.0	219.0	219.0	0.0	219	1380
1.018857717514038	32	-0.12296002	177.0	0.0	177.0	177.0	177.0	0.0	177	1557
1.0370814800262451	33	0.048736144	71.0	0.0	71.0	71.0	71.0	0.0	71	1628
1.0473294258117676	34	-0.23690265	32.0	0.0	32.0	32.0	32.0	0.0	32	1660
1.058300256729126	35	-0.0033450127	38.0	0.0	38.0	38.0	38.0	0.0	38	1698
1.065830945968628	36	0.17422314	8.5	0.5	9.0	8.0	8.5	0.5	17	1715
1.0720546245574951	37	-0.13813432	7.0	0.0	7.0	7.0	7.0	0.0	14	1729
1.0777218341827393	38	-0.123398386	6.0	1.0	7.0	5.0	6.0	1.0	12	1741
1.0836865901947021	39	0.33238077	7.0	2.0	9.0	5.0	7.0	2.0	14	1755
1.0894787311553955	40	-0.06271108	6.0	0.0	6.0	6.0	6.0	0.0	12	1767
1.095308542251587	41	-0.2574643	5.5	0.5	6.0	5.0	5.5	0.5	11	1778
1.1015706062316895	42	0.5590541	7.0	0.0	7.0	7.0	7.0	0.0	14	1792
1.1069912910461426	43	0.15338145	5.5	1.5	7.0	4.0	5.5	1.5	11	1803
1.112703800201416	44	-0.11606046	4.3333335	0.47140452	5.0	4.0	4.333333333333333	0.4714045207910317	13	1816
1.1180915832519531	45	-0.32255873	6.0	1.0	7.0	5.0	6.0	1.0	12	1828
1.124384880065918	46	-0.34166273	3.75	1.299038	5.0	2.0	3.75	1.299038105676658	15	1843
1.1300005912780762	47	-0.06313109	3.6666667	0.4714045	4.0	3.0	3.6666666666666665	0.4714045207910317	11	1854
1.135798454284668	48	0.31337976	3.6666667	0.942809	5.0	3.0	3.6666666666666665	0.9428090415820634	11	1865
1.1419153213500977	49	0.027532646	2.4	0.48989797	3.0	2.0	2.4	0.4898979485566356	12	1877
1.147510051727295	50	-0.07670628	2.75	0.8291562	4.0	2.0	2.75	0.82915619758885	11	1888
1.153679370880127	51	-0.2912854	2.4	0.48989797	3.0	2.0	2.4	0.4898979485566356	12	1900
1.1595141887664795	52	0.23248142	3.0	0.0	3.0	3.0	3.0	0.0	12	1912
1.1659719944000244	53	-0.30616727	3.0	0.0	3.0	3.0	3.0	0.0	12	1924
1.1717512607574463	54	-0.43580532	3.0	0.0	3.0	3.0	3.0	0.0	12	1936
1.1775133609771729	55	0.1242285	3.0	0.0	3.0	3.0	3.0	0.0	12	1948
1.1833605766296387	56	-0.053663258	3.0	0.0	3.0	3.0	3.0	0.0	12	1960
1.1893353462219238	57	-0.042420167	3.0	0.0	3.0	3.0	3.0	0.0	12	1972
1.195329189300537	58	0.10125636	3.0	0.0	3.0	3.0	3.0	0.0	12	1984
1.201568603515625	59	0.1411279	3.0	0.0	3.0	3.0	3.0	0.0	12	1996
1.2076020240783691	60	-0.055709526	3.0	0.0	3.0	3.0	3.0	0.0	12	2008
1.2134718894958496	61	-0.09215066	3.0	0.0	3.0	3.0	3.0	0.0	12	2020
1.2193214893341064	62	0.11556629	3.0	0.0	3.0	3.0	3.0	0.0	12	2032
1.2253308296203613	63	0.057782423	3.0	0.0	3.0	3.0	3.0	0.0	12	2044
1.2311620712280273	64	0.12321129	3.0	0.0	3.0	3.0	3.0	0.0	12	2056
1.236617088317871	65	0.101945125	3.0	0.0	3.0	3.0	3.0	0.0	12	2068
1.2423882484436035	66	0.21987599	3.0	0.0	3.0	3.0	3.0	0.0	12	2080
1.2481284141540527	67	-0.17792891	3.0	0.0	3.0	3.0	3.0	0.0	12	2092
1.2541534900665283	68	-0.17628309	2.6	0.48989797	3.0	2.0	2.6	0.4898979485566356	13	2105
1.260357141494751	69	-0.05346585	2.6	0.48989797	3.0	2.0	2.6	0.4898979485566356	13	2118
1.2662019729614258	70	0.050905187	3.0	0.0	3.0	3.0	3.0	0.0	12	2130
1.2720541954040527	71	0.2745608	3.0	0.0	3.0	3.0	3.0	0.0	12	2142
1.2779686450958252	72	-0.063026674	3.0	0.0	3.0	3.0	3.0	0.0	12	2154
1.2840795516967773	73	-0.035337675	3.0	0.0	3.0	3.0	3.0	0.0	12	2166
1.2907919883728027	74	-0.0	1.0	0.0	1.0	1.0	1.0	0.0	11	2177
1.2972514629364014	75	-0.0	1.0	0.0	1.0	1.0	1.0	0.0	11	2188
1.304011344909668	76	-0.0	1.0	0.0	1.0	1.0	1.0	0.0	11	2199
