Time	Iteration	Loss	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.741255521774292	0	0.05806486	12.0	0.0	12.0	12.0	12.0	0.0	12	12
0.7851488590240479	1	0.21962799	8.0	4.5460606	14.0	3.0	8.0	4.546060565661952	24	36
0.7921140193939209	2	0.14940827	8.5	1.5	10.0	7.0	8.5	1.5	17	53
0.798393726348877	3	0.06295304	11.0	0.0	11.0	11.0	11.0	0.0	11	64
0.8038098812103271	4	-0.12658764	11.0	0.0	11.0	11.0	11.0	0.0	11	75
0.814732551574707	5	0.008323017	12.666667	10.873004	28.0	4.0	12.666666666666666	10.873004286866728	38	113
0.8211574554443359	6	-0.054068074	17.0	0.0	17.0	17.0	17.0	0.0	17	130
0.832059383392334	7	0.19666931	17.5	10.5	28.0	7.0	17.5	10.5	35	165
0.8385734558105469	8	0.06220824	15.0	0.0	15.0	15.0	15.0	0.0	15	180
0.8470754623413086	9	0.02159791	25.0	0.0	25.0	25.0	25.0	0.0	25	205
0.8546078205108643	10	-0.090434164	21.0	0.0	21.0	21.0	21.0	0.0	21	226
0.8603806495666504	11	-0.16224416	15.0	0.0	15.0	15.0	15.0	0.0	15	241
0.8664381504058838	12	-0.016873576	11.0	0.0	11.0	11.0	11.0	0.0	11	252
0.877979040145874	13	-0.059005562	19.0	10.0	29.0	9.0	19.0	10.0	38	290
0.8915698528289795	14	0.043731283	47.0	0.0	47.0	47.0	47.0	0.0	47	337
0.8993244171142578	15	-0.05101247	22.0	0.0	22.0	22.0	22.0	0.0	22	359
0.9044504165649414	16	-0.0995248	11.0	0.0	11.0	11.0	11.0	0.0	11	370
0.9111430644989014	17	0.050393075	17.0	0.0	17.0	17.0	17.0	0.0	17	387
0.9177656173706055	18	-0.01018948	18.0	0.0	18.0	18.0	18.0	0.0	18	405
0.9277455806732178	19	-0.18063784	15.0	5.0	20.0	10.0	15.0	5.0	30	435
0.9361810684204102	20	-0.22087085	23.0	0.0	23.0	23.0	23.0	0.0	23	458
0.9415895938873291	21	0.24033894	11.0	0.0	11.0	11.0	11.0	0.0	11	469
0.9496281147003174	22	0.07444463	20.0	0.0	20.0	20.0	20.0	0.0	20	489
0.9669177532196045	23	-0.06500957	65.0	0.0	65.0	65.0	65.0	0.0	65	554
0.9947540760040283	24	0.009899638	113.0	0.0	113.0	113.0	113.0	0.0	113	667
1.0073840618133545	25	-0.084910125	43.0	0.0	43.0	43.0	43.0	0.0	43	710
1.012984037399292	26	-0.014438499	11.0	0.0	11.0	11.0	11.0	0.0	11	721
